공고일자,공고명,연도,수요기관,업무구분,품목대분류,유찰,응찰수,무응찰,입찰진행상태값,공고상태값,제조물품제한여부,긴급공고여부
20240308,24년 비데 임차용역,2024,수도군단,일반용역,산업생산서비스,False,5.0,False,낙찰자선정,등록공고,N,Y
20240402,32대 비데 임차,2024,제1보병사단,일반용역,산업생산서비스,False,3.0,False,낙찰자선정,등록공고,N,Y
20240501,임차용 비데 계약,2024,102기갑여단,일반용역,산업생산서비스,True,0.0,True,유찰,등록공고,N,N
20240530,24년 임차용 비데 신규계약(87대),2024,제9보병사단사령부,일반용역,산업생산서비스,False,2.0,False,낙찰자선정,등록공고,N,Y
20240802,24년 임차용 비데 신규 카탈로그 계약,2024,육군 제15보병사단,일반용역,산업생산서비스,False,3.0,False,낙찰자선정,등록공고,N,Y
20241031,예비군부대 업무용차량 렌탈,2024,제39보병사단,일반용역,운송·물류,False,3.0,False,낙찰자선정,등록공고,N,Y
20241111,예비군부대 업무용차량 렌탈,2024,제39보병사단,일반용역,운송·물류,True,3.0,False,유찰,등록공고,N,Y
20241114,예비군부대 업무용차량 렌탈(재),2024,제39보병사단,일반용역,운송·물류,False,3.0,False,낙찰자선정,등록공고,N,Y
20240108,군 주거시설 위탁관리용역,2024,국방부 육군 제3139부대,일반용역,,False,3.0,False,낙찰자선정,변경공고,,N
20240116,24F003-A 14회 대한민국 호국미술대전 전시대행용역,2024,국방부 국군재정관리단,일반용역,,False,2.0,False,개찰완료,등록공고,,Y
20240118,(24F005-A) 영상콘텐츠 제작용역(웹시트콤),2024,국방부 국군재정관리단,일반용역,,False,8.0,False,개찰완료,등록공고,,Y
20240119,(24F004-I)24년 영상콘텐츠 제작용역(ROKA 대백과사전),2024,국방부 육군본부,일반용역,,False,13.0,False,개찰완료,등록공고,,N
20240124,(24F001-G) 24년 인공지능 면접평가서비스 제공용역,2024,국방부 국군재정관리단,일반용역,,True,0.0,True,유찰,등록공고,,Y
20240125,[24-육-7] 정신전력 영상(군인정신) 제작,2024,육군본부 기획관리참모부,일반용역,,False,7.0,False,낙찰자선정,등록공고,,Y
20240126,24년 학군장교 임관식 행사 용역,2024,육군학생군사학교,일반용역,,True,2.0,False,유찰,등록공고,,Y
20240131,(24G010-I) 24년 정신전력교육 영상교재 제작 용역,2024,국방부 국군재정관리단,일반용역,,False,9.0,False,개찰완료,등록공고,,Y
20240202,(24F012-I) 2024년 제10회 육군력 포럼 용역,2024,국방부 국군재정관리단,일반용역,,True,0.0,True,유찰,등록공고,,Y
20240226,24~26-N-컴퓨터체계 통합유지보수,2024,국방부 국군재정관리단,일반용역,,False,5.0,False,개찰완료,변경공고,,N
20240206,(24F024-A) 정신전력교육 영상교재 제작용역,2024,육군본부 정훈공보실,일반용역,,False,6.0,False,개찰완료,등록공고,,Y
20240206,(24F034-I) 24년 육군지 편집디자인 용역,2024,국방부 국군재정관리단,일반용역,,False,5.0,False,개찰완료,등록공고,,Y
20240207,(24G026-B)24년 한국 안보·역사·문화 탐방 대행용역,2024,국방부 한미연합군사령부,일반용역,,True,0.0,True,유찰,등록공고,,Y
20240208,24-N-교과목형 CBT콘텐츠 개발,2024,국방부 국군재정관리단,일반용역,,False,4.0,False,개찰완료,등록공고,,Y
20240213,24-M-서북서측도서 문화예술공연 대행 용역,2024,국방부 국군재정관리단,일반용역,,False,6.0,False,개찰완료,등록공고,,N
20240215,(24F036-A) GOP 해강안 소초 찾아가는 문화공연 용역,2024,국방부 국군재정관리단,일반용역,,False,6.0,False,개찰완료,등록공고,,N
